,altitude,date_time,device_info_serial,direction,latitude,longitude,speed_2d
0,71,2013-08-15 00:18:08+00,851,-150.4697531,49.4198595,2.1207332,0.15
1,68,2013-08-15 00:48:07+00,851,-136.151141,49.4198799,2.120746,2.438360105
2,68,2013-08-15 01:17:58+00,851,160.7974773,49.4203105,2.1208847,0.596657356
3,73,2013-08-15 01:47:51+00,851,32.76936027,49.4203586,2.120859,0.310161248
4,69,2013-08-15 02:17:42+00,851,45.19122951,49.4203313,2.1208865,0.193132079
5,54,2013-08-15 02:47:38+00,851,-46.34447763,49.4203748,2.1208399,2.904771936
6,57,2013-08-15 03:02:33+00,851,-56.36992228,49.4203523,2.1209006,3.08058436
7,65,2013-08-15 03:17:27+00,851,-79.17022692,49.4203425,2.1208091,2.199659064
8,59,2013-08-15 03:32:35+00,851,-57.68242788,49.4203195,2.1208604,2.640075756
9,107,2013-08-15 03:47:48+00,851,119.6047385,49.4202865,2.1213013,4.592210797
10,61,2013-08-15 04:03:39+00,851,-119.3713596,49.4203351,2.1208502,0.230217289
11,56,2013-08-15 04:18:40+00,851,-130.0331186,49.4208572,2.1212357,0.622414653
12,57,2013-08-15 04:33:53+00,851,-110.1814479,49.4209551,2.1213622,1.897630101
13,68,2013-08-15 04:49:06+00,851,-105.5503735,49.425733,2.1529454,1.275343091
14,74,2013-08-15 05:04:45+00,851,-50.4798221,49.4257764,2.1529886,1.634655927
15,78,2013-08-15 05:20:09+00,851,-75.13771503,49.4257494,2.1530522,0.152315462
16,77,2013-08-15 05:35:04+00,851,132.0972863,49.4257417,2.1530974,1.188486432
17,72,2013-08-15 05:49:58+00,851,-69.25909529,49.42579,2.1529929,1.006479011
18,74,2013-08-15 06:04:56+00,851,-7.478072513,49.4258178,2.1530093,1.43850617
19,93,2013-08-15 06:19:54+00,851,71.02650367,49.4294224,2.1628171,8.901078586
20,84,2013-08-15 06:34:50+00,851,156.0820322,49.4366665,2.1938755,0.850058821
21,90,2013-08-15 06:49:43+00,851,-169.1605004,49.4367554,2.19488,0.02236068
22,84,2013-08-15 07:04:40+00,851,-141.8515158,49.4367142,2.1948623,1.016710382
23,85,2013-08-15 07:19:35+00,851,-78.42034409,49.4367615,2.1948357,3.209143188
24,87,2013-08-15 07:34:31+00,851,-154.1177302,49.4367053,2.1948661,0.598163857
25,149,2013-08-15 07:49:29+00,851,111.2398967,49.4343982,2.2342231,10.06113811
26,90,2013-08-15 08:04:56+00,851,177.8890544,49.3890273,2.2479799,0.070710678
27,56,2013-08-15 08:19:52+00,851,179.6145001,49.3798818,2.2245809,8.781030691
28,66,2013-08-15 08:34:47+00,851,9.674338668,49.3869064,2.2525242,0.775241898
29,17,2013-08-15 08:49:51+00,851,-168.5897276,49.3879873,2.2529495,1.538830725
30,64,2013-08-15 09:05:03+00,851,60.30732478,49.386891,2.2525538,0.161245155
31,64,2013-08-15 09:20:07+00,851,158.1325128,49.386895,2.2525678,0.150332964
32,-160,2013-08-15 09:35:03+00,851,165.3300067,49.3878693,2.25031,1.423516772
33,30,2013-08-15 09:50:01+00,851,-89.85619661,49.3870883,2.252066,0.247386338
34,146,2013-08-15 10:04:55+00,851,132.7010737,49.3863934,2.2539331,0.339705755
35,89,2013-08-15 10:19:51+00,851,-130.7394455,49.3896112,2.2492129,1.589370945
36,64,2013-08-15 10:34:51+00,851,-32.10070631,49.3911699,2.247121,11.18825277
37,9,2013-08-15 10:49:45+00,851,121.7770001,49.3789567,2.2273425,5.541525061
38,-14,2013-08-15 11:04:43+00,851,-131.8188653,49.3854528,2.2509697,0.902718118
39,68,2013-08-15 11:20:08+00,851,-36.55922725,49.385589,2.2503135,0.310644491
40,127,2013-08-15 11:35:05+00,851,-58.03502047,49.387664,2.2507149,9.116890917
41,90,2013-08-15 11:50:06+00,851,111.6671299,49.3898531,2.2469282,2.095709904
42,74,2013-08-15 12:05:06+00,851,-92.10104502,49.3903054,2.2478924,0.863307593
43,-7,2013-08-15 12:21:47+00,851,174.9374408,49.4087206,2.2727072,17.00144112
44,46,2013-08-15 12:36:43+00,851,-163.2645062,49.408827,2.2722345,0.624339651
45,-88,2013-08-15 12:51:34+00,851,168.536528,49.4091856,2.272041,0.492036584
46,-103,2013-08-15 13:06:30+00,851,-176.3677406,49.4090766,2.2719721,0.182482876
47,45,2013-08-15 13:21:31+00,851,-61.95009975,49.4093085,2.2716433,1.190378091
48,60,2013-08-15 13:36:56+00,851,118.1321789,49.40931,2.2715755,0.080622577
49,59,2013-08-15 13:51:51+00,851,111.8489168,49.4093786,2.2717467,0.506359556
50,54,2013-08-15 14:06:48+00,851,-158.3532256,49.4114544,2.2794514,0.747930478
51,46,2013-08-15 14:21:56+00,851,24.19048484,49.4123975,2.2823738,2.920154106
52,57,2013-08-15 14:37:27+00,851,56.42563485,49.4123468,2.282375,0.912633552
53,62,2013-08-15 14:52:26+00,851,157.1293215,49.4123255,2.2823308,0.242074369
54,-120,2013-08-15 15:07:21+00,851,116.8792645,49.4121109,2.2812091,0.449221549
55,-342,2013-08-15 15:22:15+00,851,-39.18119715,49.4122081,2.2810371,0.770778827
56,60,2013-08-15 15:37:22+00,851,-99.44187383,49.4122724,2.2823433,1.717469068
57,50,2013-08-15 15:52:33+00,851,-72.50815416,49.4123184,2.2822971,1.047520883
58,50,2013-08-15 16:07:46+00,851,-64.39166778,49.4123419,2.2822374,2.163631207
59,46,2013-08-15 16:22:57+00,851,-51.95516179,49.4123632,2.2822744,2.636854186
60,69,2013-08-15 16:38:10+00,851,-49.32748989,49.4122594,2.2824643,0.20808652
61,48,2013-08-15 16:53:21+00,851,-45.40043542,49.4124003,2.2822261,3.722163349
62,50,2013-08-15 17:08:34+00,851,-49.68791561,49.4124245,2.2821824,4.200809446
63,53,2013-08-15 17:23:47+00,851,-55.7904067,49.4123168,2.282194,2.541357905
64,104,2013-08-15 17:40:05+00,851,17.12716517,49.3902656,2.2471331,6.489437572
65,84,2013-08-15 17:56:09+00,851,-110.8383883,49.4313193,2.2421803,0.130384048
66,77,2013-08-15 18:11:03+00,851,72.50238059,49.4300996,2.2427931,0.188679623
67,78,2013-08-15 18:25:59+00,851,-46.69435287,49.4301176,2.2427959,0.643506022
68,58,2013-08-15 18:40:55+00,851,-81.78514316,49.4305876,2.2402014,0.680294054
69,116,2013-08-15 18:55:51+00,851,43.27309505,49.4302393,2.2425279,0.987167666
70,67,2013-08-15 19:11:09+00,851,-13.10630789,49.4301222,2.2429387,0.701141926
71,87,2013-08-15 19:26:01+00,851,114.0994428,49.4333225,2.2320955,0.104403065
72,238,2013-08-15 19:40:56+00,851,-92.83889191,49.4249612,2.1631787,14.63263476
73,308,2013-08-15 19:56:08+00,851,85.14418119,49.4263349,2.1186891,1.616168308
74,476,2013-08-15 20:11:04+00,851,133.5016501,49.4274036,2.1185777,1.08853112
75,64,2013-08-15 20:26:01+00,851,-132.4156944,49.4283616,2.1222069,1.545477273
76,271,2013-08-15 20:40:55+00,851,138.0140261,49.4272894,2.119892,0.345398321
77,285,2013-08-15 20:55:51+00,851,66.64674002,49.4277676,2.1204799,0.551543289
78,297,2013-08-15 21:25:44+00,851,-168.370222,49.4262533,2.1204236,2.051974659
79,261,2013-08-15 21:55:36+00,851,165.0758516,49.4262835,2.1212838,1.675470083
80,95,2013-08-15 22:26:02+00,851,39.20703173,49.4263218,2.1220901,0.086023253
81,91,2013-08-15 22:55:52+00,851,34.29029789,49.4262899,2.1219057,1.132960723
82,93,2013-08-15 23:25:46+00,851,-14.74521178,49.426301,2.1221131,0.721110255
83,94,2013-08-15 23:56:05+00,851,-131.584656,49.4263184,2.1220763,0.17
84,92,2013-08-16 00:26:01+00,851,-100.8114666,49.426305,2.1220582,2.535764185
85,95,2013-08-16 00:55:51+00,851,27.02467518,49.4263057,2.1220833,0.028284271
86,104,2013-08-16 01:25:46+00,851,7.536888164,49.4263797,2.1220563,0.312409987
87,92,2013-08-16 01:55:36+00,851,-123.3896892,49.4262579,2.1219622,1.437810836
88,89,2013-08-16 02:26:42+00,851,-32.52249182,49.4263704,2.1219279,0.278567766
89,94,2013-08-16 02:56:40+00,851,-6.588749278,49.4263753,2.1219279,0.11045361
90,100,2013-08-16 03:11:38+00,851,115.7236129,49.4263106,2.1218852,0.250599282
91,84,2013-08-16 03:26:34+00,851,-57.55418955,49.426391,2.1218339,3.380443758
92,95,2013-08-16 03:42:02+00,851,9.554363391,49.426365,2.1219792,0.014142136
93,86,2013-08-16 03:56:56+00,851,66.34846229,49.4263892,2.1221083,3.677077644
94,89,2013-08-16 04:11:53+00,851,42.93474027,49.4263894,2.1220328,0.788923317
95,80,2013-08-16 04:26:49+00,851,147.3818612,49.4306846,2.1610092,0.320156212
